| ticks:5546 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5557 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5574 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5585 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5668 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5692 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5703 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5714 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5725 | x-axis=-319 | y-axis=-270 | z-axis=273 |
| ticks:5737 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5748 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5764 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5775 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5786 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5798 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5809 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5820 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:5831 | x-axis=216 | y-axis=-257 | z-axis=-201 |
| ticks:15 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:26 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:70 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:80 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:91 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:102 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:112 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:123 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:134 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:151 | x-axis=-73 | y-axis=88 | z-axis=39 |
| ticks:168 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:179 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:194 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:217 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:228 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:238 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:249 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:259 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:270 | x-axis=218 | y-axis=-15 | z-axis=108 |
