| ticks:8047 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:8064 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:8089 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8101 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8112 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8123 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8134 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8145 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8156 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8167 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8183 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8194 | x-axis=-41 | y-axis=2 | z-axis=-276 |
| ticks:8219 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8231 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8242 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8253 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8264 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8275 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8286 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8297 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8314 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8325 | x-axis=-43 | y-axis=1 | z-axis=-275 |
| ticks:8356 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8368 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8379 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8390 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8401 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8412 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8423 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8434 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8450 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8461 | x-axis=-41 | y-axis=0 | z-axis=-275 |
| ticks:8486 | x-axis=-42 | y-axis=-2 | z-axis=-271 |
